feature,importance,modality
ac_mfcc12_mean,0.0,Acoustic
ac_mfcc11_std,0.0,Acoustic
ac_mfcc11_mean,0.0,Acoustic
ac_mfcc2_std,0.0,Acoustic
ac_mfcc3_mean,0.0,Acoustic
ac_mfcc4_mean,0.0,Acoustic
ac_mfcc5_mean,0.0,Acoustic
ac_mfcc5_std,0.0,Acoustic
ac_mfcc6_mean,0.0,Acoustic
ac_mfcc6_std,0.0,Acoustic
ac_mfcc7_mean,0.0,Acoustic
ac_mfcc7_std,0.0,Acoustic
ac_mfcc8_mean,0.0,Acoustic
ac_mfcc8_std,0.0,Acoustic
ac_mfcc9_mean,0.0,Acoustic
ac_mfcc9_std,0.0,Acoustic
ac_mfcc10_mean,0.0,Acoustic
ac_mfcc10_std,0.0,Acoustic
ac_dmfcc8_std,0.0,Acoustic
ac_dmfcc9_std,0.0,Acoustic
ac_rms_mean,0.0,Acoustic
ac_d2mfcc11_std,0.0,Acoustic
ac_d2mfcc7_std,0.0,Acoustic
ac_d2mfcc8_mean,0.0,Acoustic
ac_d2mfcc8_std,0.0,Acoustic
ac_d2mfcc9_mean,0.0,Acoustic
ac_d2mfcc9_std,0.0,Acoustic
ac_d2mfcc10_mean,0.0,Acoustic
ac_d2mfcc11_mean,0.0,Acoustic
ac_d2mfcc12_mean,0.0,Acoustic
ac_dmfcc10_mean,0.0,Acoustic
ac_d2mfcc12_std,0.0,Acoustic
ac_d2mfcc13_mean,0.0,Acoustic
ac_d2mfcc13_std,0.0,Acoustic
ac_f0_std,0.0,Acoustic
ac_f0_range,0.0,Acoustic
ac_mfcc1_std,0.0,Acoustic
ac_voiced_fraction,0.0,Acoustic
ac_d2mfcc7_mean,0.0,Acoustic
ac_d2mfcc6_std,0.0,Acoustic
ac_d2mfcc6_mean,0.0,Acoustic
ac_d2mfcc5_std,0.0,Acoustic
ac_dmfcc10_std,0.0,Acoustic
ac_dmfcc11_mean,0.0,Acoustic
ac_dmfcc11_std,0.0,Acoustic
ac_dmfcc12_mean,0.0,Acoustic
ac_dmfcc12_std,0.0,Acoustic
ac_dmfcc13_mean,0.0,Acoustic
ac_dmfcc13_std,0.0,Acoustic
ac_d2mfcc1_mean,0.0,Acoustic
ac_d2mfcc1_std,0.0,Acoustic
ac_d2mfcc2_mean,0.0,Acoustic
ac_d2mfcc2_std,0.0,Acoustic
ac_d2mfcc3_mean,0.0,Acoustic
ac_d2mfcc3_std,0.0,Acoustic
ac_d2mfcc4_mean,0.0,Acoustic
ac_d2mfcc4_std,0.0,Acoustic
read_flesch_reading_ease,0.0,Linguistic
